Given hyps,64,231,0.00980093693194154,1,1,-0.0009557128651067615,0.006165536120533943,84.09756870198781,,0.0006807602476328611,0.004953519441187382,97.62395057817203
0.2,64,100,0.00980093693194154,1,1,-0.0009557128651067615,0.006165536120533943,84.09756870198781,,-0.002480247989296913,0.0106330132111907,98.3,small test
0.25,64,100,0.00980093693194154,1,1,-0.0009557128651067615,0.006165536120533943,84.09756870198781,,-0.00185668736230582,0.011154912412166595,98.0,small test
0.3,64,100,0.00980093693194154,1,1,-0.0009557128651067615,0.006165536120533943,84.09756870198781,,-0.0006948824157007039,0.010972696356475353,98.2,small test
0.35,64,100,0.00980093693194154,1,1,-0.0009557128651067615,0.006165536120533943,84.09756870198781,,1.7046630091499537e-05,0.01128574088215828,98.3,small test
0.4,64,100,0.00980093693194154,1,1,-0.0009557128651067615,0.006165536120533943,84.09756870198781,,0.0003661881200969219,0.011066030710935593,97.7,small test
0.45,64,100,0.00980093693194154,1,1,-0.0009557128651067615,0.006165536120533943,84.09756870198781,,0.001687586773186922,0.011527893133461475,97.6,small test
0.5,64,100,0.00980093693194154,1,1,-0.0009557128651067615,0.006165536120533943,84.09756870198781,,0.0021059580612927675,0.011457769200205803,97.0,small test
0.55,64,100,0.00980093693194154,1,1,-0.0009557128651067615,0.006165536120533943,84.09756870198781,,0.0027675223536789417,0.011729874648153782,97.5975975975976,small test
0.6,64,100,0.00980093693194154,1,1,-0.0009557128651067615,0.006165536120533943,84.09756870198781,,0.0038605632726103067,0.011566740460693836,97.0,small test
0.65,64,100,0.00980093693194154,1,1,-0.0009557128651067615,0.006165536120533943,84.09756870198781,,0.0046399603597819805,0.011921324767172337,97.3,small test
0.7,64,100,0.00980093693194154,1,1,-0.0009557128651067615,0.006165536120533943,84.09756870198781,,0.005401346832513809,0.011657445691525936,97.4,small test
0.75,64,100,0.00980093693194154,1,1,-0.0009557128651067615,0.006165536120533943,84.09756870198781,,0.006120153237134218,0.012197654694318771,95.9,small test
0.8,64,100,0.00980093693194154,1,1,-0.0009557128651067615,0.006165536120533943,84.09756870198781,,0.007212490309029818,0.011958125047385693,96.89689689689689,small test
